ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type
6980,https://thebiharmail.com/husband-dies-of-snakebite-wife-waits-for-compensation-bihar-election-2020-mokaram-panchayat/,Bihar Election: Story of a Dalit Couple,,none,none,0,,,
6982,https://www.deccanherald.com/national/south/madras-high-court-directs-dalit-aiadmk-mla-a-prabhu-to-produce-brahmin-wife-over-marriage-row-899223.html,Madras High Court directs Dalit AIADMK MLA A Prabhu to produce Brahmin wife over marriage row,,IND,dalit,1,3,,
6985,https://allabouteve.co.in/hathras-rape-dalit-voices-to-follow/,12 Accounts To Follow To Know More About Dalit Voices In India,,IND,dalit,0,,,
6991,https://theprint.in/india/fir-against-rjds-tejashwi-yadav-tej-pratap-yadav-4-others-in-dalit-leader-murder-case/516828/,"FIR against RJD's Tejashwi Yadav, Tej Pratap Yadav, 4 others in Dalit leader murder case",,IND,dalit,0,,,
6993,https://www.independent.co.uk/news/world/asia/acid-attack-girls-uttar-pradesh-india-caste-tensions-b1013004.html,Three Dalit girls targeted in â€˜acid attack' in India,,IND,dalit,1,3,,
7009,https://www.tribuneindia.com/news/nation/caste-tensions-rising-bjp-dalit-leaders-a-worried-lot-149727,"Caste tensions rising, BJP Dalit leaders a worried lot",,IND,dalit,0,,,
7012,https://www.indiatoday.in/fact-check/story/rss-workers-killing-dalit-ias-officer-fact-check-1730314-2020-10-10,"Fact Check: No, this video does not show RSS workers killing Dalit IAS officerÂ ",,IND,dalit,0,,,
7013,https://www.indiatoday.in/india/story/tamil-nadu-dalit-allege-caste-discrimination-1731342-2020-10-14,Tamil Nadu: Woman Dalit panchayat president alleges caste discrimination; 2 booked,,IND,dalit,0,,,
7022,https://www.tribuneindia.com/news/nation/dalit-tamil-nadu-mla-marries-brahmin-woman-her-father-opposes-wedding-152355,"Dalit Tamil Nadu MLA marries Brahmin woman, her father opposes wedding",,IND,dalit,1,3,,
7033,https://www.newindianexpress.com/thesundaystandard/2020/oct/11/dalit-victims-of-atrocities-face-double-trouble-2208625.html,Dalit victims of atrocities face double trouble,,IND,dalit,0,,,
7034,http://globalindianstories.com/index.php/2020/10/03/dalit-organisations-in-the-uk-demand-justice-for-manisha-valmiki/,Dalit organisations in the UK demand justice for Manisha Valmiki - Global Indian Stories,,IND,dalit,1,1,,
7038,http://muslimmirror.com/eng/massive-protest-held-against-rape-and-murder-of-dalit-girls-at-jantra-mantar-demanding-resignation-of-cm-yog/,Massive protest held against rape and murder of Dalit girl at Jantra Mantar demanding resignation of CM YogiÂ Â ,,IND,dalit,1,3,,
